page_id,page_name,total_ads,unique_ads,percent_unique,avg_words,avg_spend,per_ad_avg_spend,total_avg_impressions,per_ad_avg_impression,avg_ad_min_audience,avg_ad_runtime,avg_female_13_17,avg_female_18_24,avg_female_25_34,avg_female_35_44,avg_female_45_54,avg_female_55_64,avg_female_65_plus,avg_male_13_17,avg_male_18_24,avg_male_25_34,avg_male_35_44,avg_male_45_54,avg_male_55_64,avg_male_65_plus,avg_13_17,avg_18_24,avg_25_34,avg_35_44,avg_45_54,avg_55_64,avg_65_plus,avg_female,avg_male,avg_pha,avg_stc,avg_jhc,avg_plk,avg_kvk,avg_ulk,avg_lbk,avg_hkk,avg_pak,avg_vys,avg_jhm,avg_olk,avg_msk,avg_zlk
1252346344790642,Lukáš Zicha - kandidát na starostu Prahy 4,10,10,1,51,43045,4304,366995,36700,67001,5.5,0,0.064,0.154,0.121,0.077,0.042,0.037,0,0.064,0.175,0.137,0.078,0.027,0.019,0,0.129,0.33,0.257,0.155,0.069,0.056,0.494,0.501,0.998,0,0,0,0,0,0,0,0,0,0,0,0,0
126192198099,Richard Vereš,67,33,0.493,266,63016,941,832466,12425,42419,4.4,0.004,0.047,0.122,0.108,0.091,0.073,0.074,0.003,0.047,0.157,0.112,0.08,0.043,0.036,0.007,0.094,0.279,0.22,0.171,0.115,0.11,0.519,0.477,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0
126996454685051,Piráti Praha 8,37,28,0.757,129,32282,872,280982,7594,80812,6,0,0.081,0.109,0.099,0.055,0.016,0.01,0,0.112,0.224,0.187,0.074,0.015,0.01,0,0.193,0.333,0.287,0.129,0.031,0.02,0.37,0.622,0.997,0.002,0,0,0,0,0,0,0,0,0,0,0,0
127176750644239,Jan Horník - senátor,19,19,1,208,26740,1407,399990,21052,87369,17.2,0,0.016,0.037,0.068,0.088,0.105,0.118,0,0.024,0.09,0.135,0.137,0.098,0.079,0,0.04,0.127,0.202,0.225,0.203,0.197,0.432,0.563,0,0,0,0.009,0.862,0.128,0,0,0,0,0,0,0,0
129090553792481,Central Group,33,32,0.97,69,20934,634,238484,7227,415153,13.3,0,0.13,0.079,0.056,0.055,0.033,0.038,0.001,0.267,0.142,0.084,0.055,0.023,0.026,0.001,0.397,0.222,0.139,0.11,0.056,0.064,0.391,0.597,0.627,0.373,0,0,0,0,0,0,0,0,0,0,0,0
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),72,47,0.653,139,189264,2629,2276464,31618,307501,11.1,0,0.098,0.292,0.214,0.077,0.028,0.032,0,0.043,0.085,0.066,0.03,0.012,0.014,0,0.141,0.377,0.28,0.107,0.04,0.046,0.74,0.25,0.291,0.092,0.05,0.043,0.019,0.048,0.033,0.041,0.038,0.034,0.137,0.047,0.077,0.044
1305036916201094,Stanislav Folwarczny,32,14,0.438,15,48984,1531,318984,9968,13282,4.2,0,0.045,0.098,0.127,0.123,0.091,0.071,0,0.046,0.097,0.103,0.092,0.062,0.04,0,0.091,0.195,0.23,0.215,0.153,0.111,0.555,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0.839,0.001
130631260290858,Piráti Středočeský kraj,14,13,0.929,164,55843,3989,469993,33571,112144,5.9,0,0.042,0.119,0.123,0.092,0.038,0.037,0,0.072,0.171,0.154,0.106,0.024,0.017,0,0.114,0.29,0.277,0.199,0.062,0.054,0.451,0.545,0.032,0.943,0,0,0,0,0.006,0.019,0,0,0,0,0,0
130675686978568,Tomáš Czernin,39,25,0.641,111,40280,1033,315480,8089,47822,6.3,0,0.031,0.053,0.08,0.107,0.093,0.091,0,0.062,0.111,0.118,0.121,0.069,0.059,0,0.094,0.165,0.199,0.228,0.161,0.15,0.456,0.54,0,0.422,0,0,0,0,0.087,0.483,0.008,0,0,0,0,0
130930366952714,Volba Pro Kladno,11,10,0.909,80,54694,4972,503994,45818,156456,3.4,0,0.141,0.093,0.08,0.093,0.071,0.073,0,0.081,0.099,0.09,0.082,0.051,0.042,0,0.221,0.191,0.17,0.174,0.122,0.114,0.549,0.444,0.133,0.808,0.005,0.005,0.002,0.007,0.004,0.004,0.004,0.003,0.009,0.004,0.008,0.004
