id,ad_creation_time,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,ad_delivery_start_time,ad_snapshot_url,bylines,currency,languages,page_id,page_name,publisher_platforms,estimated_audience_size_lower,estimated_audience_size_upper,impressions_lower,impressions_upper,spend_lower,spend_upper,ad_delivery_stop_time,female_13-17,female_18-24,female_25-34,female_35-44,female_45-54,female_55-64,female_65+,male_13-17,male_18-24,male_25-34,male_35-44,male_45-54,male_55-64,male_65+,unknown_13-17,unknown_18-24,unknown_25-34,unknown_35-44,unknown_45-54,unknown_55-64,unknown_65+,Central Bohemian Region,Hradec Králové Region,Karlovy Vary Region,Liberec Region,Moravian-Silesian Region,Olomouc Region,Pardubice Region,Plzeň Region,Prague,South Bohemian Region,South Moravian Region,Ústí nad Labem Region,Vysočina Region,Zlín Region
468383725065354,2022-07-27,"Komunikovat je lidské, jen se na to občas jaksi zapomíná. Více ve videu.","","","",2022-07-27,https://www.facebook.com/ads/archive/render_ad/?id=468383725065354&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,9000,9999,300,399,2022-08-18,,0.017,0.029,0.027,0.05,0.051,0.035,,0.086,0.252,0.191,0.145,0.07,0.042,,0,0.001,0.001,0.001,0.001,0.001,0.114,0.059,0.03,0.039,0.105,0.067,0.052,0.057,0.112,0.067,0.103,0.092,0.051,0.054
581107723481329,2022-07-27,"Nežijeme v lehké době, ale problémy jsou od toho, aby se překonávaly. Budu postupně představovat svoje recepty, jak obtíže lépe zvládnout. Začněme inflací neboli zdražováním. Potřebujeme získat zpět kontrolu nad energiemi. Vláda musí pomáhat rychle, efektivně a jednoduše. Rozpočtům našich domácností může pomoci například zrušení daně z přidané hodnoty na energie a základní potraviny. Všichni zodpovědní musí důrazněji hájit naše národní zájmy v rámci Evropské unie mimo jiné právě tím, že získáme možnost dalšího snižování DPH. Zůstaňme bezpečnou zemí, kde lidé mohou spokojeně žít. Více ve videu.","","","",2022-07-27,https://www.facebook.com/ads/archive/render_ad/?id=581107723481329&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,0,999,0,99,2022-08-18,,0.01,0.005,0.007,0.01,0.044,0.051,,0.132,0.284,0.147,0.127,0.115,0.068,,,,,,,,0.11,0.056,0.039,0.039,0.1,0.081,0.054,0.049,0.093,0.076,0.105,0.068,0.064,0.066
592741509009511,2022-07-27,"Město Ústí nad Labem leží v kraji, k němuž mám dlouhodobý vřelý vztah, protože sem jezdívám na chalupu, odpočinout si a nabrat novou energii. Znám mnoho místních lidí osobně a troufám si říct, že jsem mezi nimi našel řadu skutečných přátel na celý život. Momentálně jsem zde pracovně, setkávám se s lidmi z různých oborů a sfér, což je pro mě velmi obohacující. Byl jsem také pozdravit své kolegy v Masarykově nemocnici, s nimiž spolupracuji mnoho let.","","","",2022-07-29,https://www.facebook.com/ads/archive/render_ad/?id=592741509009511&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,0,999,0,99,2022-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773573383813717,2022-07-27,"Komunikovat je lidské, jen se na to občas jaksi zapomíná. Více ve videu.","","","",2022-07-27,https://www.facebook.com/ads/archive/render_ad/?id=773573383813717&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,10000,14999,400,499,2022-08-18,,0.022,0.032,0.017,0.032,0.035,0.025,,0.118,0.296,0.16,0.137,0.076,0.045,,0,0.002,0.001,0,0,0.001,,0.064,,0.071,0.173,0.082,0.071,0.146,,0.081,0.23,0.082,,
828976575177394,2022-07-27,"Nežijeme v lehké době, ale problémy jsou od toho, aby se překonávaly. Budu postupně představovat svoje recepty, jak obtíže lépe zvládnout. Začněme inflací neboli zdražováním. Potřebujeme získat zpět kontrolu nad energiemi. Vláda musí pomáhat rychle, efektivně a jednoduše. Rozpočtům našich domácností může pomoci například zrušení daně z přidané hodnoty na energie a základní potraviny. Všichni zodpovědní musí důrazněji hájit naše národní zájmy v rámci Evropské unie mimo jiné právě tím, že získáme možnost dalšího snižování DPH. Zůstaňme bezpečnou zemí, kde lidé mohou spokojeně žít. Více ve videu.","","","",2022-07-27,https://www.facebook.com/ads/archive/render_ad/?id=828976575177394&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,1000001,,0,999,0,99,2022-08-18,,0.015,0.004,0.004,0.009,0.04,0.025,,0.205,0.237,0.127,0.137,0.125,0.068,,,0.002,,,,0.002,0.12,0.065,0.042,0.042,0.082,0.083,0.083,0.051,,0.112,0.074,0.11,0.059,0.078
1094390311490701,2022-07-27,"Nežijeme v lehké době, ale problémy jsou od toho, aby se překonávaly. Budu postupně představovat svoje recepty, jak obtíže lépe zvládnout. Začněme inflací neboli zdražováním. Potřebujeme získat zpět kontrolu nad energiemi. Vláda musí pomáhat rychle, efektivně a jednoduše. Rozpočtům našich domácností může pomoci například zrušení daně z přidané hodnoty na energie a základní potraviny. Všichni zodpovědní musí důrazněji hájit naše národní zájmy v rámci Evropské unie mimo jiné právě tím, že získáme možnost dalšího snižování DPH. Zůstaňme bezpečnou zemí, kde lidé mohou spokojeně žít. Více ve videu.","","","",2022-07-27,https://www.facebook.com/ads/archive/render_ad/?id=1094390311490701&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,1000,1999,0,99,2022-08-18,,0.004,0.016,0.003,0.002,0.002,0.003,,0.213,0.511,0.143,0.059,0.016,0.025,,0.001,0.001,,,,,0.092,0.045,0.037,0.038,0.102,0.055,0.047,0.079,0.097,0.088,0.132,0.072,0.069,0.048
1183352465576457,2022-07-27,"Komunikovat je lidské, jen se na to občas jaksi zapomíná. Více ve videu.","","","",2022-07-27,https://www.facebook.com/ads/archive/render_ad/?id=1183352465576457&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,10000,14999,400,499,2022-08-18,,0.014,0.032,0.014,0.014,0.01,0.008,,0.095,0.417,0.215,0.104,0.041,0.033,,0,0.002,0.001,0,0,0,0.112,0.052,0.027,0.045,0.109,0.058,0.051,0.059,0.113,0.069,0.115,0.089,0.052,0.049
1219972001904748,2022-07-27,"Komunikovat je lidské, jen se na to občas jaksi zapomíná. Více ve videu.","","","",2022-07-27,https://www.facebook.com/ads/archive/render_ad/?id=1219972001904748&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,7000,7999,300,399,2022-08-18,,0.016,0.028,0.023,0.035,0.023,0.015,,0.141,0.316,0.201,0.126,0.048,0.027,,0,0,0,0,0,0,0.131,0.06,0.03,0.043,0.096,0.069,0.055,0.055,0.093,0.059,0.1,0.093,0.065,0.051
1808336056167014,2022-07-27,"Nežijeme v lehké době, ale problémy jsou od toho, aby se překonávaly. Budu postupně představovat svoje recepty, jak obtíže lépe zvládnout. Začněme inflací neboli zdražováním. Potřebujeme získat zpět kontrolu nad energiemi. Vláda musí pomáhat rychle, efektivně a jednoduše. Rozpočtům našich domácností může pomoci například zrušení daně z přidané hodnoty na energie a základní potraviny. Všichni zodpovědní musí důrazněji hájit naše národní zájmy v rámci Evropské unie mimo jiné právě tím, že získáme možnost dalšího snižování DPH. Zůstaňme bezpečnou zemí, kde lidé mohou spokojeně žít. Více ve videu.","","","",2022-07-28,https://www.facebook.com/ads/archive/render_ad/?id=1808336056167014&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,1000,1999,0,99,2022-08-18,,0.013,0.004,0.005,0.006,0.015,0.008,,0.253,0.291,0.16,0.135,0.061,0.045,,0.001,0.002,0.001,0.001,,0.001,,0.074,,0.064,0.154,0.105,0.074,0.135,,0.078,0.235,0.079,,
3202147220113309,2022-07-27,"Nežijeme v lehké době, ale problémy jsou od toho, aby se překonávaly. Budu postupně představovat svoje recepty, jak obtíže lépe zvládnout. Začněme inflací neboli zdražováním. Potřebujeme získat zpět kontrolu nad energiemi. Vláda musí pomáhat rychle, efektivně a jednoduše. Rozpočtům našich domácností může pomoci například zrušení daně z přidané hodnoty na energie a základní potraviny. Všichni zodpovědní musí důrazněji hájit naše národní zájmy v rámci Evropské unie mimo jiné právě tím, že získáme možnost dalšího snižování DPH. Zůstaňme bezpečnou zemí, kde lidé mohou spokojeně žít. Více ve videu.","","","",2022-07-27,https://www.facebook.com/ads/archive/render_ad/?id=3202147220113309&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,0,999,0,99,2022-08-18,,0.01,0.008,0.008,0.009,0.027,0.016,,0.26,0.292,0.159,0.132,0.047,0.03,,,0.001,0.001,,,0.001,0.099,0.067,0.023,0.035,0.084,0.079,0.058,0.066,0.044,0.085,0.129,0.079,0.086,0.068
